WARNING: System properties and/or JVM args set.  Consider using --dry-run or --exec
0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
25   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /opt/solr/solr-4.10.2/hdp/contexts at interval 0
29   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /opt/solr/solr-4.10.2/hdp/contexts/banana-context.xml
120  [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  – Extract jar:file:/opt/solr/solr-4.10.2/hdp/webapps/banana.war!/ to /opt/banana/latest/banana-webapp/webapp
313  [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /banana, did not find org.apache.jasper.servlet.JspServlet
343  [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /opt/solr/solr-4.10.2/hdp/contexts/solr-jetty-context.xml
1331 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
30753 [qtp631383787-13] INFO  org.apache.solr.core.SolrCore  – [tweets] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
30759 [qtp631383787-13] INFO  org.apache.solr.core.HdfsDirectoryFactory  – creating directory factory for path hdfs://sandbox.hortonworks.com:8020/user/solr/tweets/data
30776 [qtp631383787-13] WARN  org.apache.solr.core.HdfsDirectoryFactory  – Using solr.hdfs.blockcache.write.enabled is currently buggy and can result in readers seeing a corrupted view of the index.
30971 [qtp631383787-13] WARN  org.apache.hadoop.util.NativeCodeLoader  – Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
31300 [qtp631383787-13] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for hdfs://sandbox.hortonworks.com:8020/user/solr/tweets/data
31303 [qtp631383787-13] INFO  org.apache.solr.core.SolrCore  – New index directory detected: old=null new=hdfs://sandbox.hortonworks.com:8020/user/solr/tweets/data/index/
31329 [qtp631383787-13] WARN  org.apache.solr.core.SolrCore  – [tweets] Solr index directory 'hdfs:/sandbox.hortonworks.com:8020/user/solr/tweets/data/index' doesn't exist. Creating new index...
31338 [qtp631383787-13] INFO  org.apache.solr.core.HdfsDirectoryFactory  – creating directory factory for path hdfs://sandbox.hortonworks.com:8020/user/solr/tweets/data/index
31339 [qtp631383787-13] WARN  org.apache.solr.core.HdfsDirectoryFactory  – Using solr.hdfs.blockcache.write.enabled is currently buggy and can result in readers seeing a corrupted view of the index.
31339 [qtp631383787-13] INFO  org.apache.solr.core.HdfsDirectoryFactory  – Number of slabs of block cache [1] with direct memory allocation set to [true]
31339 [qtp631383787-13] INFO  org.apache.solr.core.HdfsDirectoryFactory  – Block cache target memory usage, slab size of [134217728] will allocate [1] slabs and use ~[134217728] bytes
31340 [qtp631383787-13] INFO  org.apache.solr.core.HdfsDirectoryFactory  – Creating new single instance HDFS BlockCache
31402 [qtp631383787-13] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for hdfs://sandbox.hortonworks.com:8020/user/solr/tweets/data/index
31598 [qtp631383787-13] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(HdfsDirectory@735b8caa lockFactory=org.apache.solr.store.hdfs.HdfsLockFactory@5c342a90; maxCacheMB=192.0 maxMergeSizeMB=16.0),segFN=segments_1,generation=1}
31599 [qtp631383787-13] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 1
31612 [qtp631383787-13] INFO  org.apache.solr.core.SolrCore  – created json: solr.JSONResponseWriter
31612 [qtp631383787-13] INFO  org.apache.solr.core.SolrCore  – adding lazy queryResponseWriter: solr.VelocityResponseWriter
31613 [qtp631383787-13] INFO  org.apache.solr.core.SolrCore  – created velocity: solr.VelocityResponseWriter
31616 [qtp631383787-13] INFO  org.apache.solr.core.SolrCore  – created xslt: solr.XSLTResponseWriter
31617 [qtp631383787-13] INFO  org.apache.solr.response.XSLTResponseWriter  – xsltCacheLifetimeSeconds=5
31690 [qtp631383787-13] INFO  org.apache.solr.update.processor.UpdateRequestProcessorChain  – creating updateRequestProcessorChain "add-unknown-fields-to-the-schema"
31744 [qtp631383787-13] INFO  org.apache.solr.core.SolrCore  – no updateRequestProcessorChain defined as default, creating implicit default
31746 [qtp631383787-13] INFO  org.apache.solr.core.RequestHandlers  – created /update: org.apache.solr.handler.UpdateRequestHandler
31746 [qtp631383787-13] INFO  org.apache.solr.core.RequestHandlers  – created /update/json: org.apache.solr.handler.UpdateRequestHandler
31747 [qtp631383787-13] INFO  org.apache.solr.core.RequestHandlers  – created /update/csv: org.apache.solr.handler.UpdateRequestHandler
31747 [qtp631383787-13] INFO  org.apache.solr.core.RequestHandlers  – created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
